Resource Type: ALL
Anomaly Type: ALL
Traffic Direction: Outgoing
Anomaly Status: ALL
Minimum Severity: Yellow
Start Time: 2020/10/29 12:00
Until: 2020/11/1 12:59
Duration: 
Traffic Amount: 
Victim/Infected IP Prefix: 


No., ID, CHK, Impact, Status, Start Time / End Time, Duration, Direction, Type, Resource
1,100318,,Yellow /679.51 Mbps /  over 200.00 Mbps / max 679.51 Mbps,Ongoing,11-01 12:15 Ongoing,02:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
2,100317,,Yellow /679.22 Mbps /  over 50.00 Mbps / max 679.22 Mbps,Ongoing,11-01 12:15 Ongoing,02:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
3,100316,,Yellow /624.79 Mbps /  over 200.00 Mbps / max 624.79 Mbps,Recovered,11-01 12:1011-01 12:13,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
4,100315,,Yellow /624.53 Mbps /  over 50.00 Mbps / max 624.53 Mbps,Recovered,11-01 12:1011-01 12:13,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
5,100314,,Yellow /571.05 Mbps /  over 200.00 Mbps / max 571.05 Mbps,Recovered,11-01 12:0511-01 12:08,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
6,100313,,Yellow /570.79 Mbps /  over 50.00 Mbps / max 570.79 Mbps,Recovered,11-01 12:0511-01 12:08,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
7,100312,,Yellow /730.17 Mbps /  over 200.00 Mbps / max 730.17 Mbps,Recovered,11-01 12:0011-01 12:03,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
8,100311,,Yellow /729.79 Mbps /  over 50.00 Mbps / max 729.79 Mbps,Recovered,11-01 12:0011-01 12:03,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
9,100310,,Yellow /607.21 Mbps /  over 200.00 Mbps / max 607.21 Mbps,Recovered,11-01 11:5511-01 11:58,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
10,100309,,Yellow /606.89 Mbps /  over 50.00 Mbps / max 606.89 Mbps,Recovered,11-01 11:5511-01 11:58,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
11,100308,,Yellow /568.14 Mbps /  over 200.00 Mbps / max 568.14 Mbps,Recovered,11-01 11:5011-01 11:53,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
12,100307,,Yellow /567.88 Mbps /  over 50.00 Mbps / max 567.88 Mbps,Recovered,11-01 11:5011-01 11:53,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
13,100306,,Yellow /684.09 Mbps /  over 200.00 Mbps / max 684.09 Mbps,Recovered,11-01 11:4511-01 11:48,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
14,100305,,Yellow /582.42 Mbps /  over 50.00 Mbps / max 582.42 Mbps,Recovered,11-01 11:4511-01 11:48,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
15,100304,,Yellow /690.71 Mbps /  over 200.00 Mbps / max 690.71 Mbps,Recovered,11-01 11:4011-01 11:43,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
16,100303,,Yellow /601.79 Mbps /  over 50.00 Mbps / max 601.79 Mbps,Recovered,11-01 11:4011-01 11:43,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
17,100302,,Yellow /624.80 Mbps /  over 200.00 Mbps / max 624.80 Mbps,Recovered,11-01 11:3511-01 11:38,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
18,100301,,Yellow /532.65 Mbps /  over 50.00 Mbps / max 532.65 Mbps,Recovered,11-01 11:3511-01 11:38,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
19,100300,checked,Yellow /679.58 Mbps /  over 200.00 Mbps / max 679.58 Mbps,Recovered,11-01 11:3011-01 11:33,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
20,100299,checked,Yellow /600.38 Mbps /  over 50.00 Mbps / max 600.38 Mbps,Recovered,11-01 11:3011-01 11:33,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
21,100298,checked,Yellow /703.28 Mbps /  over 200.00 Mbps / max 703.28 Mbps,Recovered,11-01 11:2511-01 11:28,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
22,100297,checked,Yellow /600.87 Mbps /  over 50.00 Mbps / max 600.87 Mbps,Recovered,11-01 11:2511-01 11:28,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
23,100296,checked,Yellow /561.39 Mbps /  over 200.00 Mbps / max 561.39 Mbps,Recovered,11-01 11:2011-01 11:23,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
24,100295,checked,Yellow /491.54 Mbps /  over 50.00 Mbps / max 491.54 Mbps,Recovered,11-01 11:2011-01 11:23,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
25,100294,,Yellow /5.28 Kpps /  over 5.00 Kpps / max 5.28 Kpps,Recovered,11-01 11:1611-01 11:19,03:00,To Non-Home,DDoS / TCP_PUSH / pps,[Sub-Network] / ActiveHost / 185.65.137.10
26,100293,checked,Yellow /680.03 Mbps /  over 200.00 Mbps / max 680.03 Mbps,Recovered,11-01 11:1511-01 11:18,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
27,100292,checked,Yellow /607.46 Mbps /  over 50.00 Mbps / max 607.46 Mbps,Recovered,11-01 11:1511-01 11:18,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
28,100291,checked,Yellow /698.80 Mbps /  over 200.00 Mbps / max 698.80 Mbps,Recovered,11-01 11:1011-01 11:13,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
29,100290,checked,Yellow /616.83 Mbps /  over 50.00 Mbps / max 616.83 Mbps,Recovered,11-01 11:1011-01 11:13,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
30,100289,checked,Yellow /709.03 Mbps /  over 200.00 Mbps / max 709.03 Mbps,Recovered,11-01 11:0511-01 11:08,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
31,100288,checked,Yellow /608.16 Mbps /  over 50.00 Mbps / max 608.16 Mbps,Recovered,11-01 11:0511-01 11:08,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
32,100287,checked,Yellow /684.85 Mbps /  over 200.00 Mbps / max 684.85 Mbps,Recovered,11-01 11:0011-01 11:03,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
33,100286,checked,Yellow /611.19 Mbps /  over 50.00 Mbps / max 611.19 Mbps,Recovered,11-01 11:0011-01 11:03,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
34,100285,checked,Yellow /569.03 Mbps /  over 200.00 Mbps / max 569.03 Mbps,Recovered,11-01 10:5511-01 10:58,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
35,100284,checked,Yellow /492.33 Mbps /  over 50.00 Mbps / max 492.33 Mbps,Recovered,11-01 10:5511-01 10:58,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
36,100283,checked,Red /7.53 Kpps /  over 7.00 Kpps / max 7.78 Kpps,Recovered,11-01 10:4511-01 10:55,10:00,To Home,DDoS / TCP_PUSH / pps,[Sub-Network] / RCOD / 195.50.6.62
37,100282,checked,Yellow /5.03 Kpps /  over 5.00 Kpps / max 5.03 Kpps,Recovered,11-01 08:4711-01 08:50,03:00,To Non-Home,DDoS / TCP_PUSH / pps,[Sub-Network] / ActiveHost / 185.65.137.10
38,100281,checked,Red /18.23 Gbps /  over 2.00 Gbps / max 26.16 Gbps,Recovered,11-01 08:1011-01 10:55,2:45:00,Incoming,Traffic Anomaly / bps,[Sub-Network] / IP Telcom
39,100280,checked,Red /24.37 Gbps /  over 200.00 Mbps / max 25.67 Gbps,Recovered,11-01 08:0811-01 10:53,2:45:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
40,100279,checked,Red /397.47 Kpps /  over 20.00 Kpps / max 493.75 Kpps,Recovered,11-01 08:0811-01 10:53,2:45:00,To Non-Home,DDoS / Malform UDP with port 0 / pps,[Sub-Network] / IP Telcom / 91.90.223.202
41,100278,checked,Red /18.42 Gbps /  over 50.00 Mbps / max 19.95 Gbps,Recovered,11-01 08:0811-01 10:53,2:45:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
42,100277,,Yellow /784.69 Mbps /  over 200.00 Mbps / max 784.69 Mbps,Recovered,11-01 08:0211-01 08:05,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
43,100276,,Yellow /660.69 Mbps /  over 50.00 Mbps / max 660.69 Mbps,Recovered,11-01 08:0211-01 08:05,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
44,100275,,Yellow /667.54 Mbps /  over 200.00 Mbps / max 667.54 Mbps,Recovered,11-01 07:5711-01 08:00,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
45,100274,,Yellow /590.46 Mbps /  over 50.00 Mbps / max 590.46 Mbps,Recovered,11-01 07:5711-01 08:00,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
46,100273,,Yellow /669.60 Mbps /  over 200.00 Mbps / max 669.60 Mbps,Recovered,11-01 07:5211-01 07:55,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
47,100272,,Yellow /669.00 Mbps /  over 50.00 Mbps / max 669.00 Mbps,Recovered,11-01 07:5211-01 07:55,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
48,100271,,Yellow /660.20 Mbps /  over 200.00 Mbps / max 660.20 Mbps,Recovered,11-01 07:4711-01 07:50,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
49,100270,,Yellow /598.79 Mbps /  over 50.00 Mbps / max 598.79 Mbps,Recovered,11-01 07:4711-01 07:50,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
50,100269,,Yellow /660.93 Mbps /  over 200.00 Mbps / max 660.93 Mbps,Recovered,11-01 07:4211-01 07:45,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
51,100268,,Yellow /590.51 Mbps /  over 50.00 Mbps / max 590.51 Mbps,Recovered,11-01 07:4211-01 07:45,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
52,100267,,Yellow /672.98 Mbps /  over 200.00 Mbps / max 672.98 Mbps,Recovered,11-01 07:3711-01 07:40,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
53,100266,,Yellow /613.55 Mbps /  over 50.00 Mbps / max 613.55 Mbps,Recovered,11-01 07:3711-01 07:40,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
54,100265,,Yellow /669.97 Mbps /  over 200.00 Mbps / max 669.97 Mbps,Recovered,11-01 07:3211-01 07:35,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
55,100264,,Yellow /609.93 Mbps /  over 50.00 Mbps / max 609.93 Mbps,Recovered,11-01 07:3211-01 07:35,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
56,100263,,Yellow /675.99 Mbps /  over 200.00 Mbps / max 675.99 Mbps,Recovered,11-01 07:2711-01 07:30,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
57,100262,,Yellow /620.96 Mbps /  over 50.00 Mbps / max 620.96 Mbps,Recovered,11-01 07:2711-01 07:30,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
58,100261,,Yellow /629.50 Mbps /  over 200.00 Mbps / max 629.50 Mbps,Recovered,11-01 07:2211-01 07:25,03:00,To Non-Home,DDoS / UDP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
59,100260,,Yellow /578.39 Mbps /  over 50.00 Mbps / max 578.39 Mbps,Recovered,11-01 07:2211-01 07:25,03:00,To Non-Home,DDoS / NTP Flooding / bps,[Sub-Network] / IP Telcom / 91.90.223.202
